parametros: tamaño poblacion: 100, numero de generaciones: 500
metodo de seleccion de padres: torneo, metodo de cruzamiento: cruce basado en arcos
metodo de mutacion: inversion, seleccion de sobrevivientes: steady-state
probabilidad de cruce: 1, probabilidad de mutacion: 0.1
estancamiento de generaciones: 100
mejor fitness generacion 304: 0.00016931933626820184
mejor fitness generacion 305: 0.00016931933626820184
mejor fitness generacion 306: 0.00016931933626820184
mejor fitness generacion 307: 0.00016931933626820184
mejor fitness generacion 308: 0.00016931933626820184
mejor fitness generacion 309: 0.00016931933626820184
mejor fitness generacion 310: 0.00016931933626820184
mejor fitness generacion 311: 0.00016931933626820184
mejor fitness generacion 312: 0.00016931933626820184
mejor fitness generacion 313: 0.00016931933626820184
mejor fitness generacion 314: 0.00016931933626820184
mejor fitness generacion 315: 0.00016931933626820184
mejor fitness generacion 316: 0.00016931933626820184
mejor fitness generacion 317: 0.00016931933626820184
mejor fitness generacion 318: 0.00016931933626820184
mejor fitness generacion 319: 0.00016931933626820184
mejor fitness generacion 320: 0.00016931933626820184
mejor fitness generacion 321: 0.00016931933626820184
mejor fitness generacion 322: 0.00016931933626820184
mejor fitness generacion 323: 0.00016931933626820184
mejor fitness generacion 324: 0.00016931933626820184
mejor fitness generacion 325: 0.00016931933626820184
mejor fitness generacion 326: 0.00016931933626820184
mejor fitness generacion 327: 0.00016931933626820184
mejor fitness generacion 328: 0.00016931933626820184
mejor fitness generacion 329: 0.00016931933626820184
mejor fitness generacion 330: 0.00016931933626820184
mejor fitness generacion 331: 0.00016931933626820184
mejor fitness generacion 332: 0.00016931933626820184
mejor fitness generacion 333: 0.00016931933626820184
mejor fitness generacion 334: 0.00016931933626820184
mejor fitness generacion 335: 0.00016931933626820184
mejor fitness generacion 336: 0.00016931933626820184
mejor fitness generacion 337: 0.00016931933626820184
mejor fitness generacion 338: 0.00016931933626820184
mejor fitness generacion 339: 0.00016931933626820184
mejor fitness generacion 340: 0.00016931933626820184
mejor fitness generacion 341: 0.00016931933626820184
mejor fitness generacion 342: 0.00016931933626820184
mejor fitness generacion 343: 0.00016931933626820184
mejor fitness generacion 344: 0.00016931933626820184
mejor fitness generacion 345: 0.00016931933626820184
mejor fitness generacion 346: 0.00016931933626820184
mejor fitness generacion 347: 0.00016931933626820184
mejor fitness generacion 348: 0.00016931933626820184
mejor fitness generacion 349: 0.00016931933626820184
mejor fitness generacion 350: 0.00016931933626820184
mejor fitness generacion 351: 0.00016931933626820184
mejor fitness generacion 352: 0.00016931933626820184
mejor fitness generacion 353: 0.00016931933626820184
mejor fitness generacion 354: 0.00016931933626820184
mejor fitness generacion 355: 0.00016931933626820184
mejor fitness generacion 356: 0.00016931933626820184
mejor fitness generacion 357: 0.00016931933626820184
mejor fitness generacion 358: 0.00016931933626820184
mejor fitness generacion 359: 0.00016931933626820184
mejor fitness generacion 360: 0.00016931933626820184
mejor fitness generacion 361: 0.00016931933626820184
mejor fitness generacion 362: 0.00016931933626820184
mejor fitness generacion 363: 0.00016931933626820184
mejor fitness generacion 364: 0.00016931933626820184
mejor fitness generacion 365: 0.00016931933626820184
mejor fitness generacion 366: 0.00016931933626820184
mejor fitness generacion 367: 0.00016931933626820184
mejor fitness generacion 368: 0.00016931933626820184
mejor fitness generacion 369: 0.00016931933626820184
mejor fitness generacion 370: 0.00016931933626820184
mejor fitness generacion 371: 0.00016931933626820184
mejor fitness generacion 372: 0.00016931933626820184
mejor fitness generacion 373: 0.00016931933626820184
mejor fitness generacion 374: 0.00016931933626820184
mejor fitness generacion 375: 0.00016931933626820184
mejor fitness generacion 376: 0.00016931933626820184
mejor fitness generacion 377: 0.00016931933626820184
mejor fitness generacion 378: 0.00016931933626820184
mejor fitness generacion 379: 0.00016931933626820184
mejor fitness generacion 380: 0.00016931933626820184
mejor fitness generacion 381: 0.00016931933626820184
mejor fitness generacion 382: 0.00016931933626820184
mejor fitness generacion 383: 0.00016931933626820184
mejor fitness generacion 384: 0.00016931933626820184
mejor fitness generacion 385: 0.00016931933626820184
mejor solucion: [34, 5, 3, 6, 8, 7, 9, 37, 35, 36, 2, 4, 29, 27, 26, 25, 23, 24, 22, 21, 0, 1, 28, 30, 31, 33, 42, 39, 41, 38, 40, 12, 10, 32, 20, 17, 19, 16, 18, 15, 14, 11, 13]
fitness de la mejor solucion: 0.00016931933626820184
tiempo de ejecucion: 275.95053911209106
costo_viaje: 5906.0
