parametros: tamaño poblacion: 200, numero de generaciones: 1000
metodo de seleccion de padres: rueda de ruleta, metodo de cruzamiento: cruce basado en un punto
metodo de mutacion: inversion, seleccion de sobrevivientes: elitismo
probabilidad de cruce: 1, probabilidad de mutacion: 0.2
estancamiento de generaciones: 100
mejor fitness generacion 297: 0.010752688172043012
mejor fitness generacion 298: 0.010752688172043012
mejor fitness generacion 299: 0.010752688172043012
mejor fitness generacion 300: 0.010752688172043012
mejor fitness generacion 301: 0.010752688172043012
mejor fitness generacion 302: 0.010752688172043012
mejor fitness generacion 303: 0.010752688172043012
mejor fitness generacion 304: 0.010752688172043012
mejor fitness generacion 305: 0.010752688172043012
mejor fitness generacion 306: 0.010752688172043012
mejor fitness generacion 307: 0.010752688172043012
mejor fitness generacion 308: 0.010752688172043012
mejor fitness generacion 309: 0.010752688172043012
mejor fitness generacion 310: 0.010752688172043012
mejor fitness generacion 311: 0.010752688172043012
mejor fitness generacion 312: 0.010752688172043012
mejor fitness generacion 313: 0.010752688172043012
mejor fitness generacion 314: 0.010752688172043012
mejor fitness generacion 315: 0.010752688172043012
mejor fitness generacion 316: 0.010752688172043012
mejor fitness generacion 317: 0.010752688172043012
mejor fitness generacion 318: 0.010752688172043012
mejor fitness generacion 319: 0.010752688172043012
mejor fitness generacion 320: 0.010752688172043012
mejor fitness generacion 321: 0.010752688172043012
mejor fitness generacion 322: 0.010752688172043012
mejor fitness generacion 323: 0.010752688172043012
mejor fitness generacion 324: 0.010752688172043012
mejor fitness generacion 325: 0.010752688172043012
mejor fitness generacion 326: 0.010752688172043012
mejor fitness generacion 327: 0.010752688172043012
mejor fitness generacion 328: 0.010752688172043012
mejor fitness generacion 329: 0.010752688172043012
mejor fitness generacion 330: 0.010752688172043012
mejor fitness generacion 331: 0.010752688172043012
mejor fitness generacion 332: 0.010752688172043012
mejor fitness generacion 333: 0.010752688172043012
mejor fitness generacion 334: 0.010752688172043012
mejor fitness generacion 335: 0.010752688172043012
mejor fitness generacion 336: 0.010752688172043012
mejor fitness generacion 337: 0.010752688172043012
mejor fitness generacion 338: 0.010752688172043012
mejor fitness generacion 339: 0.010752688172043012
mejor fitness generacion 340: 0.010752688172043012
mejor fitness generacion 341: 0.010752688172043012
mejor fitness generacion 342: 0.010752688172043012
mejor fitness generacion 343: 0.010752688172043012
mejor fitness generacion 344: 0.010752688172043012
mejor fitness generacion 345: 0.010752688172043012
mejor fitness generacion 346: 0.010752688172043012
mejor fitness generacion 347: 0.010752688172043012
mejor fitness generacion 348: 0.010752688172043012
mejor fitness generacion 349: 0.010752688172043012
mejor fitness generacion 350: 0.010752688172043012
mejor fitness generacion 351: 0.010752688172043012
mejor fitness generacion 352: 0.010752688172043012
mejor fitness generacion 353: 0.010752688172043012
mejor fitness generacion 354: 0.010752688172043012
mejor fitness generacion 355: 0.010752688172043012
mejor fitness generacion 356: 0.010752688172043012
mejor fitness generacion 357: 0.010752688172043012
mejor fitness generacion 358: 0.010752688172043012
mejor fitness generacion 359: 0.010752688172043012
mejor fitness generacion 360: 0.010752688172043012
mejor fitness generacion 361: 0.010752688172043012
mejor fitness generacion 362: 0.010752688172043012
mejor fitness generacion 363: 0.010752688172043012
mejor fitness generacion 364: 0.010752688172043012
mejor fitness generacion 365: 0.010752688172043012
mejor fitness generacion 366: 0.010752688172043012
mejor fitness generacion 367: 0.010752688172043012
mejor fitness generacion 368: 0.010752688172043012
mejor fitness generacion 369: 0.010752688172043012
mejor fitness generacion 370: 0.010752688172043012
mejor fitness generacion 371: 0.010752688172043012
mejor fitness generacion 372: 0.010752688172043012
mejor fitness generacion 373: 0.010752688172043012
mejor fitness generacion 374: 0.010752688172043012
mejor fitness generacion 375: 0.010752688172043012
mejor fitness generacion 376: 0.010752688172043012
mejor fitness generacion 377: 0.010752688172043012
mejor fitness generacion 378: 0.010752688172043012
mejor fitness generacion 379: 0.010752688172043012
mejor fitness generacion 380: 0.010752688172043012
mejor fitness generacion 381: 0.010752688172043012
mejor fitness generacion 382: 0.010752688172043012
mejor fitness generacion 383: 0.010752688172043012
mejor fitness generacion 384: 0.010752688172043012
mejor fitness generacion 385: 0.010752688172043012
mejor fitness generacion 386: 0.010752688172043012
mejor fitness generacion 387: 0.010752688172043012
mejor fitness generacion 388: 0.010752688172043012
mejor fitness generacion 389: 0.010752688172043012
mejor fitness generacion 390: 0.010752688172043012
mejor fitness generacion 391: 0.010752688172043012
mejor fitness generacion 392: 0.010752688172043012
mejor fitness generacion 393: 0.010752688172043012
mejor fitness generacion 394: 0.010752688172043012
mejor fitness generacion 395: 0.010752688172043012
mejor fitness generacion 396: 0.010752688172043012
mejor fitness generacion 397: 0.010752688172043012
mejor fitness generacion 398: 0.010752688172043012
mejor fitness generacion 399: 0.010752688172043012
mejor fitness generacion 400: 0.010752688172043012
mejor fitness generacion 401: 0.010752688172043012
mejor fitness generacion 402: 0.010752688172043012
mejor fitness generacion 403: 0.010752688172043012
mejor fitness generacion 404: 0.010752688172043012
mejor fitness generacion 405: 0.010752688172043012
mejor fitness generacion 406: 0.010752688172043012
mejor fitness generacion 407: 0.010752688172043012
mejor fitness generacion 408: 0.010752688172043012
mejor fitness generacion 409: 0.010752688172043012
mejor fitness generacion 410: 0.010752688172043012
mejor fitness generacion 411: 0.010752688172043012
mejor fitness generacion 412: 0.010752688172043012
mejor fitness generacion 413: 0.010752688172043012
mejor fitness generacion 414: 0.010752688172043012
mejor fitness generacion 415: 0.010752688172043012
mejor fitness generacion 416: 0.010752688172043012
mejor fitness generacion 417: 0.010752688172043012
mejor fitness generacion 418: 0.010752688172043012
mejor fitness generacion 419: 0.010752688172043012
mejor fitness generacion 420: 0.010752688172043012
mejor fitness generacion 421: 0.010752688172043012
mejor fitness generacion 422: 0.010752688172043012
mejor fitness generacion 423: 0.010752688172043012
